timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1539760414566,287,HTTP Request,200,OK,Thread Group 1-27,text,true,,512,143,39,39,287,0,0
1539760414634,231,HTTP Request,503,Service Not Available,Thread Group 1-7,text,false,,1098,143,39,39,231,0,0
1539760414636,238,HTTP Request,503,Service Not Available,Thread Group 1-30,text,false,,1098,143,39,39,238,0,0
1539760414642,238,HTTP Request,503,Service Not Available,Thread Group 1-6,text,false,,1098,143,39,39,238,0,0
1539760414652,234,HTTP Request,503,Service Not Available,Thread Group 1-21,text,false,,1098,143,39,39,234,0,0
1539760414590,300,HTTP Request,200,OK,Thread Group 1-29,text,true,,512,143,39,39,300,0,0
1539760414448,466,HTTP Request,503,Service Not Available,Thread Group 1-35,text,false,,1098,143,39,39,466,0,234
1539760414621,302,HTTP Request,200,OK,Thread Group 1-19,text,true,,510,143,39,39,302,0,0
1539760414699,234,HTTP Request,503,Service Not Available,Thread Group 1-2,text,false,,1098,143,39,39,234,0,0
1539760414666,271,HTTP Request,200,OK,Thread Group 1-28,text,true,,558,143,39,39,271,0,0
1539760414692,252,HTTP Request,200,OK,Thread Group 1-12,text,true,,558,143,39,39,252,0,0
1539760414720,237,HTTP Request,503,Service Not Available,Thread Group 1-4,text,false,,1098,143,40,40,237,0,0
1539760414734,231,HTTP Request,503,Service Not Available,Thread Group 1-20,text,false,,1098,143,40,40,231,0,0
1539760414720,299,HTTP Request,200,OK,Thread Group 1-22,text,true,,552,143,40,40,299,0,0
1539760414787,264,HTTP Request,200,OK,Thread Group 1-8,text,true,,558,143,41,41,264,0,0
1539760414819,234,HTTP Request,503,Service Not Available,Thread Group 1-26,text,false,,1098,143,41,41,234,0,0
1539760414598,460,HTTP Request,503,Service Not Available,Thread Group 1-15,text,false,,1098,143,41,41,460,0,229
1539760414598,467,HTTP Request,503,Service Not Available,Thread Group 1-16,text,false,,1098,143,41,41,467,0,233
1539760414854,232,HTTP Request,503,Service Not Available,Thread Group 1-27,text,false,,1098,143,41,41,232,0,0
1539760414811,276,HTTP Request,200,OK,Thread Group 1-34,text,true,,561,143,41,41,276,0,0
